human	lizard	chicken
ENSG00000109794	ENSACAG00000001593	ENSGALG00000013503
ENSG00000148840	ENSACAG00000012404	ENSGALG00000020742
ENSG00000134873	ENSACAG00000001996	ENSGALG00000019114
ENSG00000083123	ENSACAG00000017347	ENSGALG00000040702
ENSG00000164506	ENSACAG00000007114	ENSGALG00000012336
ENSG00000136859	ENSACAG00000004716	ENSGALG00000000927
ENSG00000057663	ENSACAG00000005534	ENSGALG00000015387
ENSG00000153208	ENSACAG00000005886	ENSGALG00000008257
ENSG00000198125	ENSACAG00000016595	ENSGALG00000012541
ENSG00000146216	ENSACAG00000004636	ENSGALG00000008627
ENSG00000105967	ENSACAG00000006672	ENSGALG00000040557
ENSG00000197323	ENSACAG00000002617	ENSGALG00000001976
ENSG00000141696	ENSACAG00000017887	ENSGALG00000027462
ENSG00000227345	ENSACAG00000015000	ENSGALG00000002117
ENSG00000133639	ENSACAG00000012417	ENSGALG00000011276
ENSG00000182557	ENSACAG00000007099	ENSGALG00000001410
ENSG00000102854	ENSACAG00000008929	ENSGALG00000005349
ENSG00000145391	ENSACAG00000002249	ENSGALG00000009800
ENSG00000136448	ENSACAG00000007348	ENSGALG00000000857
ENSG00000130032	ENSACAG00000014130	ENSGALG00000027977
ENSG00000136732	ENSACAG00000023178	ENSGALG00000011566
ENSG00000163694	ENSACAG00000011833	ENSGALG00000014267
ENSG00000181195	ENSACAG00000005300	ENSGALG00000015419
ENSG00000168754	ENSACAG00000029424	ENSGALG00000045608
ENSG00000166398	ENSACAG00000000991	ENSGALG00000004949
ENSG00000197769	ENSACAG00000003394	ENSGALG00000010741
ENSG00000174429	ENSACAG00000009983	ENSGALG00000041043
ENSG00000164442	ENSACAG00000004848	ENSGALG00000013818
ENSG00000140950	ENSACAG00000007729	ENSGALG00000033137
ENSG00000180423	ENSACAG00000004077	ENSGALG00000008354
ENSG00000100604	ENSACAG00000008883	ENSGALG00000010820
ENSG00000102181	ENSACAG00000008440	ENSGALG00000009075
ENSG00000169783	ENSACAG00000011513	ENSGALG00000002708
ENSG00000164440	ENSACAG00000004862	ENSGALG00000013822
ENSG00000124743	ENSACAG00000008404	ENSGALG00000016309
ENSG00000085449	ENSACAG00000004456	ENSGALG00000005158
ENSG00000109790	ENSACAG00000007412	ENSGALG00000031388
ENSG00000133997	ENSACAG00000004951	ENSGALG00000029743
ENSG00000166428	ENSACAG00000011309	ENSGALG00000011646
ENSG00000157005	ENSACAG00000006722	ENSGALG00000007361
ENSG00000025293	ENSACAG00000006565	ENSGALG00000001522
ENSG00000177683	ENSACAG00000001543	ENSGALG00000009494
ENSG00000136111	ENSACAG00000024802	ENSGALG00000016925
ENSG00000019169	ENSACAG00000006420	ENSGALG00000012119
ENSG00000165417	ENSACAG00000017431	ENSGALG00000010576
ENSG00000138615	ENSACAG00000004493	ENSGALG00000007358
ENSG00000133636	ENSACAG00000011152	ENSGALG00000027192
ENSG00000164323	ENSACAG00000002345	ENSGALG00000010611
ENSG00000011523	ENSACAG00000001863	ENSGALG00000008787
ENSG00000197467	ENSACAG00000017768	ENSGALG00000004286
ENSG00000165071	ENSACAG00000011047	ENSGALG00000044996
ENSG00000136485	ENSACAG00000012744	ENSGALG00000000510
ENSG00000114988	ENSACAG00000006475	ENSGALG00000041177
ENSG00000110171	ENSACAG00000015325	ENSGALG00000034004
ENSG00000127083	ENSACAG00000009166	ENSGALG00000026080
ENSG00000104611	ENSACAG00000009003	ENSGALG00000010122
ENSG00000103275	ENSACAG00000003445	ENSGALG00000006428
ENSG00000168397	ENSACAG00000000776	ENSGALG00000006298
ENSG00000100650	ENSACAG00000005143	ENSGALG00000009421
ENSG00000165695	ENSACAG00000002505	ENSGALG00000040923
ENSG00000150510	ENSACAG00000011955	ENSGALG00000017016
ENSG00000213316	ENSACAG00000029619	ENSGALG00000021275
ENSG00000163882	ENSACAG00000002828	ENSGALG00000008534
ENSG00000164073	ENSACAG00000011518	ENSGALG00000010199
ENSG00000103710	ENSACAG00000004524	ENSGALG00000007349
ENSG00000143858	ENSACAG00000003847	ENSGALG00000026033
ENSG00000167800	ENSACAG00000008549	ENSGALG00000038767
ENSG00000174804	ENSACAG00000002739	ENSGALG00000017242
ENSG00000115365	ENSACAG00000010566	ENSGALG00000002921
ENSG00000269964	ENSACAG00000029103	ENSGALG00000041938
ENSG00000155858	ENSACAG00000003306	ENSGALG00000038954
ENSG00000150687	ENSACAG00000002734	ENSGALG00000017244
ENSG00000133103	ENSACAG00000016560	ENSGALG00000017035
ENSG00000225968	ENSACAG00000011549	ENSGALG00000004209
ENSG00000086102	ENSACAG00000002412	ENSGALG00000043724
ENSG00000148773	ENSACAG00000020986	ENSGALG00000025996
ENSG00000140015	ENSACAG00000016161	ENSGALG00000011858
ENSG00000112562	ENSACAG00000003213	ENSGALG00000011205
ENSG00000067955	ENSACAG00000013211	ENSGALG00000003169
ENSG00000103647	ENSACAG00000013721	ENSGALG00000008043
ENSG00000175764	ENSACAG00000007392	ENSGALG00000001389
ENSG00000184845	ENSACAG00000015014	ENSGALG00000039698
ENSG00000163389	ENSACAG00000013777	ENSGALG00000015480
ENSG00000111404	ENSACAG00000014562	ENSGALG00000013112
ENSG00000131653	ENSACAG00000022050	ENSGALG00000005767
ENSG00000121075	ENSACAG00000001033	ENSGALG00000005285
ENSG00000151726	ENSACAG00000002400	ENSGALG00000010628
ENSG00000143341	ENSACAG00000002067	ENSGALG00000031129
ENSG00000170091	ENSACAG00000015037	ENSGALG00000028602
ENSG00000154305	ENSACAG00000002254	ENSGALG00000041034
ENSG00000108342	ENSACAG00000026820	ENSGALG00000030907
ENSG00000183864	ENSACAG00000004782	ENSGALG00000011957
ENSG00000103061	ENSACAG00000010238	ENSGALG00000035575
ENSG00000154127	ENSACAG00000004950	ENSGALG00000006567
ENSG00000178772	ENSACAG00000004119	ENSGALG00000045776
ENSG00000188517	ENSACAG00000012641	ENSGALG00000039411
ENSG00000172115	ENSACAG00000013076	ENSGALG00000011020
ENSG00000132330	ENSACAG00000006483	ENSGALG00000030194
ENSG00000205808	ENSACAG00000013296	ENSGALG00000003029
ENSG00000084234	ENSACAG00000003021	ENSGALG00000001250
ENSG00000160050	ENSACAG00000004586	ENSGALG00000003241
ENSG00000141977	ENSACAG00000005342	ENSGALG00000003978
ENSG00000204291	ENSACAG00000009250	ENSGALG00000034119
ENSG00000133704	ENSACAG00000012959	ENSGALG00000012953
ENSG00000162461	ENSACAG00000013722	ENSGALG00000033034
ENSG00000197353	ENSACAG00000001305	ENSGALG00000035166
ENSG00000189050	ENSACAG00000013051	ENSGALG00000005205
ENSG00000138722	ENSACAG00000013371	ENSGALG00000010391
ENSG00000179988	ENSACAG00000017467	ENSGALG00000009610
ENSG00000135744	ENSACAG00000001740	ENSGALG00000011117
ENSG00000100347	ENSACAG00000015889	ENSGALG00000014194
ENSG00000198856	ENSACAG00000012543	ENSGALG00000010526
ENSG00000176641	ENSACAG00000011557	ENSGALG00000028822
ENSG00000163482	ENSACAG00000002906	ENSGALG00000011371
ENSG00000170382	ENSACAG00000007344	ENSGALG00000000639
ENSG00000030582	ENSACAG00000012130	ENSGALG00000033530
ENSG00000187531	ENSACAG00000010434	ENSGALG00000007286
ENSG00000108576	ENSACAG00000011633	ENSGALG00000004246
ENSG00000211450	ENSACAG00000025279	ENSGALG00000031031
ENSG00000156384	ENSACAG00000005163	ENSGALG00000008383
ENSG00000037474	ENSACAG00000000677	ENSGALG00000013064
ENSG00000158458	ENSACAG00000002438	ENSGALG00000033641
ENSG00000100664	ENSACAG00000000485	ENSGALG00000011464
ENSG00000171302	ENSACAG00000016215	ENSGALG00000011822
ENSG00000197580	ENSACAG00000015299	ENSGALG00000007868
ENSG00000137699	ENSACAG00000003480	ENSGALG00000042360
ENSG00000107485	ENSACAG00000009109	ENSGALG00000029270
ENSG00000036672	ENSACAG00000027046	ENSGALG00000006755
ENSG00000005700	ENSACAG00000017326	ENSGALG00000015864
ENSG00000134780	ENSACAG00000017695	ENSGALG00000036492
ENSG00000095059	ENSACAG00000004385	ENSGALG00000040259
ENSG00000138823	ENSACAG00000012194	ENSGALG00000035619
ENSG00000136155	ENSACAG00000029217	ENSGALG00000027514
ENSG00000117481	ENSACAG00000002150	ENSGALG00000010360
ENSG00000090615	ENSACAG00000007759	ENSGALG00000002158
ENSG00000137869	ENSACAG00000024508	ENSGALG00000013294
ENSG00000164404	ENSACAG00000013046	ENSGALG00000028407
ENSG00000164022	ENSACAG00000008341	ENSGALG00000010553
ENSG00000015413	ENSACAG00000017169	ENSGALG00000006175
ENSG00000165495	ENSACAG00000000635	ENSGALG00000043103
ENSG00000187398	ENSACAG00000016317	ENSGALG00000030151
ENSG00000139645	ENSACAG00000007304	ENSGALG00000031973
ENSG00000170584	ENSACAG00000028809	ENSGALG00000001726
ENSG00000018280	ENSACAG00000001716	ENSGALG00000011434
ENSG00000168876	ENSACAG00000014101	ENSGALG00000017210
ENSG00000150401	ENSACAG00000000309	ENSGALG00000029145
ENSG00000119383	ENSACAG00000011425	ENSGALG00000036965
ENSG00000102189	ENSACAG00000012450	ENSGALG00000011280
ENSG00000115507	ENSACAG00000005818	ENSGALG00000028817
ENSG00000242028	ENSACAG00000004800	ENSGALG00000013916
ENSG00000119326	ENSACAG00000001940	ENSGALG00000013207
ENSG00000166391	ENSACAG00000012410	ENSGALG00000014170
ENSG00000091664	ENSACAG00000015135	ENSGALG00000039254
ENSG00000170802	ENSACAG00000014236	ENSGALG00000008942
ENSG00000111358	ENSACAG00000015223	ENSGALG00000023682
ENSG00000134207	ENSACAG00000002524	ENSGALG00000001968
ENSG00000161714	ENSACAG00000007219	ENSGALG00000045212
ENSG00000156127	ENSACAG00000016951	ENSGALG00000010323
ENSG00000092439	ENSACAG00000003845	ENSGALG00000023451
ENSG00000149257	ENSACAG00000002229	ENSGALG00000011214
ENSG00000174799	ENSACAG00000009137	ENSGALG00000013776
ENSG00000116774	ENSACAG00000002519	ENSGALG00000001956
ENSG00000116957	ENSACAG00000001489	ENSGALG00000013950
ENSG00000156642	ENSACAG00000007192	ENSGALG00000001741
ENSG00000253304	ENSACAG00000003887	ENSGALG00000024318
ENSG00000139651	ENSACAG00000006993	ENSGALG00000033246
ENSG00000102794	ENSACAG00000000470	ENSGALG00000016919
ENSG00000174417	ENSACAG00000010418	ENSGALG00000033701
ENSG00000142937	ENSACAG00000015697	ENSGALG00000010124
ENSG00000022267	ENSACAG00000009112	ENSGALG00000006190
ENSG00000164587	ENSACAG00000015004	ENSGALG00000004588
ENSG00000168237	ENSACAG00000006619	ENSGALG00000004018
ENSG00000140368	ENSACAG00000011683	ENSGALG00000002786
ENSG00000143469	ENSACAG00000001401	ENSGALG00000009884
ENSG00000126218	ENSACAG00000006917	ENSGALG00000026677
ENSG00000178927	ENSACAG00000016885	ENSGALG00000001607
ENSG00000135750	ENSACAG00000001105	ENSGALG00000011005
ENSG00000111596	ENSACAG00000004779	ENSGALG00000010042
ENSG00000101773	ENSACAG00000007768	ENSGALG00000014982
ENSG00000066084	ENSACAG00000017156	ENSGALG00000034965
ENSG00000159674	ENSACAG00000010309	ENSGALG00000038433
ENSG00000156509	ENSACAG00000016378	ENSGALG00000038940
ENSG00000160963	ENSACAG00000015310	ENSGALG00000043223
ENSG00000126106	ENSACAG00000014822	ENSGALG00000010110
ENSG00000109686	ENSACAG00000002951	ENSGALG00000010081
ENSG00000181234	ENSACAG00000014433	ENSGALG00000002714
ENSG00000146013	ENSACAG00000006937	ENSGALG00000007620
ENSG00000107938	ENSACAG00000000994	ENSGALG00000013685
ENSG00000166250	ENSACAG00000004869	ENSGALG00000006507
ENSG00000173083	ENSACAG00000010731	ENSGALG00000011203
ENSG00000136059	ENSACAG00000005301	ENSGALG00000005763
ENSG00000102924	ENSACAG00000006094	ENSGALG00000042664
ENSG00000197576	ENSACAG00000010390	ENSGALG00000022622
ENSG00000148606	ENSACAG00000007985	ENSGALG00000004947
ENSG00000172270	ENSACAG00000013894	ENSGALG00000001328
ENSG00000154743	ENSACAG00000013345	ENSGALG00000004981
ENSG00000135960	ENSACAG00000001949	ENSGALG00000016809
ENSG00000110367	ENSACAG00000017134	ENSGALG00000033064
ENSG00000143603	ENSACAG00000015700	ENSGALG00000030554
ENSG00000164649	ENSACAG00000014127	ENSGALG00000035978
ENSG00000155729	ENSACAG00000016086	ENSGALG00000008155
ENSG00000164362	ENSACAG00000001261	ENSGALG00000013183
ENSG00000123353	ENSACAG00000015457	ENSGALG00000031940
ENSG00000180720	ENSACAG00000004120	ENSGALG00000008365
ENSG00000157404	ENSACAG00000009902	ENSGALG00000038634
ENSG00000100600	ENSACAG00000008987	ENSGALG00000010811
ENSG00000100526	ENSACAG00000016565	ENSGALG00000012220
ENSG00000166233	ENSACAG00000006742	ENSGALG00000001901
ENSG00000104613	ENSACAG00000009079	ENSGALG00000010130
ENSG00000061492	ENSACAG00000016983	ENSGALG00000037494
ENSG00000169129	ENSACAG00000009734	ENSGALG00000008999
ENSG00000137807	ENSACAG00000001823	ENSGALG00000008095
ENSG00000132170	ENSACAG00000013360	ENSGALG00000004974
ENSG00000084070	ENSACAG00000014470	ENSGALG00000029244
ENSG00000259956	ENSACAG00000007689	ENSGALG00000002372
ENSG00000186104	ENSACAG00000012705	ENSGALG00000006050
ENSG00000118482	ENSACAG00000009258	ENSGALG00000016267
ENSG00000075539	ENSACAG00000006131	ENSGALG00000014103
ENSG00000188107	ENSACAG00000009303	ENSGALG00000016263
ENSG00000102241	ENSACAG00000009346	ENSGALG00000006410
ENSG00000177463	ENSACAG00000012082	ENSGALG00000008519
ENSG00000093144	ENSACAG00000010436	ENSGALG00000014828
ENSG00000204160	ENSACAG00000016644	ENSGALG00000034910
ENSG00000198171	ENSACAG00000003914	ENSGALG00000016003
ENSG00000100418	ENSACAG00000004597	ENSGALG00000011934
ENSG00000120729	ENSACAG00000017085	ENSGALG00000031826
ENSG00000166435	ENSACAG00000027725	ENSGALG00000017310
ENSG00000109775	ENSACAG00000002110	ENSGALG00000010601
ENSG00000101126	ENSACAG00000023616	ENSGALG00000007989
ENSG00000116852	ENSACAG00000009963	ENSGALG00000034347
ENSG00000147027	ENSACAG00000016078	ENSGALG00000027198
ENSG00000158286	ENSACAG00000002745	ENSGALG00000032525
ENSG00000133794	ENSACAG00000004497	ENSGALG00000005378
ENSG00000135269	ENSACAG00000006611	ENSGALG00000031934
ENSG00000163661	ENSACAG00000006780	ENSGALG00000028284
ENSG00000154478	ENSACAG00000017503	ENSGALG00000009684
ENSG00000118418	ENSACAG00000004584	ENSGALG00000015880
ENSG00000000419	ENSACAG00000003927	ENSGALG00000017366
ENSG00000173210	ENSACAG00000015469	ENSGALG00000002790
ENSG00000105971	ENSACAG00000006587	ENSGALG00000033295
ENSG00000142961	ENSACAG00000001833	ENSGALG00000025946
ENSG00000112110	ENSACAG00000004244	ENSGALG00000011625
ENSG00000133980	ENSACAG00000016464	ENSGALG00000010232
ENSG00000102910	ENSACAG00000014302	ENSGALG00000003942
ENSG00000157510	ENSACAG00000015542	ENSGALG00000039628
ENSG00000136636	ENSACAG00000017622	ENSGALG00000009678
ENSG00000198707	ENSACAG00000011324	ENSGALG00000011177
ENSG00000129968	ENSACAG00000014324	ENSGALG00000041163
ENSG00000165934	ENSACAG00000009245	ENSGALG00000010783
ENSG00000065361	ENSACAG00000005090	ENSGALG00000033510
ENSG00000126821	ENSACAG00000016008	ENSGALG00000041183
ENSG00000211448	ENSACAG00000017365	ENSGALG00000026005
ENSG00000266173	ENSACAG00000012388	ENSGALG00000000550
ENSG00000104524	ENSACAG00000001821	ENSGALG00000033828
ENSG00000196505	ENSACAG00000008288	ENSGALG00000014794
ENSG00000103005	ENSACAG00000015481	ENSGALG00000035604
ENSG00000177733	ENSACAG00000017109	ENSGALG00000006160
ENSG00000054938	ENSACAG00000014221	ENSGALG00000017308
ENSG00000179115	ENSACAG00000017166	ENSGALG00000040258
ENSG00000166206	ENSACAG00000011617	ENSGALG00000029392
ENSG00000120616	ENSACAG00000007015	ENSGALG00000007169
ENSG00000108797	ENSACAG00000013861	ENSGALG00000003123
ENSG00000169507	ENSACAG00000000966	ENSGALG00000011052
ENSG00000065491	ENSACAG00000016791	ENSGALG00000039130
ENSG00000184451	ENSACAG00000013855	ENSGALG00000028519
ENSG00000049618	ENSACAG00000005132	ENSGALG00000013683
ENSG00000211455	ENSACAG00000012343	ENSGALG00000014094
ENSG00000125740	ENSACAG00000007426	ENSGALG00000041280
ENSG00000166188	ENSACAG00000026479	ENSGALG00000000999
ENSG00000130881	ENSACAG00000006002	ENSGALG00000004853
ENSG00000167182	ENSACAG00000006793	ENSGALG00000000233
ENSG00000112245	ENSACAG00000009243	ENSGALG00000016271
ENSG00000133641	ENSACAG00000011252	ENSGALG00000011168
ENSG00000031691	ENSACAG00000029549	ENSGALG00000016692
ENSG00000130876	ENSACAG00000002568	ENSGALG00000004729
ENSG00000197415	ENSACAG00000006767	ENSGALG00000009682
ENSG00000031003	ENSACAG00000028138	ENSGALG00000041706
ENSG00000110429	ENSACAG00000013809	ENSGALG00000034029
ENSG00000138604	ENSACAG00000013871	ENSGALG00000028191
ENSG00000168615	ENSACAG00000009144	ENSGALG00000003398
ENSG00000172345	ENSACAG00000011206	ENSGALG00000021193
ENSG00000163481	ENSACAG00000002824	ENSGALG00000011375
ENSG00000143839	ENSACAG00000007697	ENSGALG00000000545
ENSG00000034152	ENSACAG00000001703	ENSGALG00000041285
ENSG00000122218	ENSACAG00000016256	ENSGALG00000009153
ENSG00000133943	ENSACAG00000009814	ENSGALG00000010703
ENSG00000110400	ENSACAG00000003487	ENSGALG00000039196
ENSG00000123684	ENSACAG00000016289	ENSGALG00000009848
ENSG00000140057	ENSACAG00000013423	ENSGALG00000011093
ENSG00000053108	ENSACAG00000011477	ENSGALG00000031487
ENSG00000157350	ENSACAG00000002447	ENSGALG00000002651
ENSG00000092931	ENSACAG00000008577	ENSGALG00000001777
ENSG00000164758	ENSACAG00000008493	ENSGALG00000030862
ENSG00000103249	ENSACAG00000005029	ENSGALG00000030826
ENSG00000109991	ENSACAG00000007329	ENSGALG00000040479
ENSG00000102890	ENSACAG00000001972	ENSGALG00000030220
ENSG00000112530	ENSACAG00000003319	ENSGALG00000011560
ENSG00000167645	ENSACAG00000003938	ENSGALG00000037586
ENSG00000160703	ENSACAG00000002300	ENSGALG00000044053
ENSG00000214376	ENSACAG00000014459	ENSGALG00000017217
ENSG00000095981	ENSACAG00000002094	ENSGALG00000020049
ENSG00000165724	ENSACAG00000014958	ENSGALG00000008798
ENSG00000254726	ENSACAG00000003739	ENSGALG00000014016
ENSG00000165478	ENSACAG00000000481	ENSGALG00000039356
ENSG00000165861	ENSACAG00000016309	ENSGALG00000009338
ENSG00000110244	ENSACAG00000001641	ENSGALG00000007109
ENSG00000119650	ENSACAG00000017053	ENSGALG00000020415
ENSG00000189056	ENSACAG00000006896	ENSGALG00000008193
ENSG00000183034	ENSACAG00000005863	ENSGALG00000007791
ENSG00000172782	ENSACAG00000005793	ENSGALG00000029445
ENSG00000126775	ENSACAG00000016240	ENSGALG00000012148
ENSG00000149243	ENSACAG00000012365	ENSGALG00000017332
ENSG00000160282	ENSACAG00000004847	ENSGALG00000006131
ENSG00000044574	ENSACAG00000004072	ENSGALG00000001000
ENSG00000239900	ENSACAG00000007206	ENSGALG00000012034
ENSG00000136933	ENSACAG00000004012	ENSGALG00000042210
ENSG00000110723	ENSACAG00000025912	ENSGALG00000027243
ENSG00000170419	ENSACAG00000012608	ENSGALG00000041764
ENSG00000170412	ENSACAG00000015071	ENSGALG00000021362
ENSG00000174842	ENSACAG00000004573	ENSGALG00000005959
ENSG00000108830	ENSACAG00000013416	ENSGALG00000002804
ENSG00000159692	ENSACAG00000010232	ENSGALG00000039942
ENSG00000183876	ENSACAG00000015011	ENSGALG00000005616
ENSG00000135999	ENSACAG00000003345	ENSGALG00000012453
ENSG00000146477	ENSACAG00000003423	ENSGALG00000020002
ENSG00000133216	ENSACAG00000008140	ENSGALG00000004741
ENSG00000205356	ENSACAG00000001975	ENSGALG00000003507
ENSG00000244687	ENSACAG00000025937	ENSGALG00000042783
ENSG00000141293	ENSACAG00000006534	ENSGALG00000027305
ENSG00000166268	ENSACAG00000004738	ENSGALG00000019352
ENSG00000156931	ENSACAG00000007715	ENSGALG00000006704
ENSG00000169925	ENSACAG00000003200	ENSGALG00000002682
ENSG00000197429	ENSACAG00000015733	ENSGALG00000010287
ENSG00000162757	ENSACAG00000005927	ENSGALG00000001378
ENSG00000159592	ENSACAG00000015710	ENSGALG00000010276
ENSG00000103260	ENSACAG00000001776	ENSGALG00000035634
ENSG00000124216	ENSACAG00000015607	ENSGALG00000008018
ENSG00000170558	ENSACAG00000010838	ENSGALG00000015132
ENSG00000141448	ENSACAG00000007786	ENSGALG00000014976
ENSG00000111344	ENSACAG00000004572	ENSGALG00000008150
ENSG00000139370	ENSACAG00000014379	ENSGALG00000002695
ENSG00000132912	ENSACAG00000014654	ENSGALG00000004534
ENSG00000163581	ENSACAG00000016103	ENSGALG00000009306
ENSG00000122687	ENSACAG00000009089	ENSGALG00000004238
ENSG00000057294	ENSACAG00000012265	ENSGALG00000012913
ENSG00000071991	ENSACAG00000012459	ENSGALG00000013775
ENSG00000042317	ENSACAG00000013297	ENSGALG00000010607
ENSG00000112584	ENSACAG00000002686	ENSGALG00000011180
ENSG00000262655	ENSACAG00000003254	ENSGALG00000038775
ENSG00000108854	ENSACAG00000000474	ENSGALG00000003566
ENSG00000116882	ENSACAG00000008120	ENSGALG00000014766
ENSG00000036257	ENSACAG00000004212	ENSGALG00000005108
ENSG00000151553	ENSACAG00000009309	ENSGALG00000031404
ENSG00000178860	ENSACAG00000014585	ENSGALG00000037777
ENSG00000137948	ENSACAG00000004674	ENSGALG00000006031
ENSG00000101955	ENSACAG00000014714	ENSGALG00000043100
ENSG00000180336	ENSACAG00000012539	ENSGALG00000045889
ENSG00000011454	ENSACAG00000011360	ENSGALG00000001225
ENSG00000100433	ENSACAG00000013306	ENSGALG00000010598
ENSG00000158023	ENSACAG00000011408	ENSGALG00000004365
ENSG00000112983	ENSACAG00000006700	ENSGALG00000037646
ENSG00000108551	ENSACAG00000004515	ENSGALG00000004860
ENSG00000175224	ENSACAG00000003943	ENSGALG00000008347
ENSG00000006432	ENSACAG00000004901	ENSGALG00000037326
ENSG00000187051	ENSACAG00000007571	ENSGALG00000029810
ENSG00000057019	ENSACAG00000010985	ENSGALG00000015258
ENSG00000173085	ENSACAG00000010708	ENSGALG00000041294
ENSG00000089057	ENSACAG00000005986	ENSGALG00000000195
ENSG00000065485	ENSACAG00000011064	ENSGALG00000011689
ENSG00000185010	ENSACAG00000000601	ENSGALG00000005077
ENSG00000132323	ENSACAG00000006573	ENSGALG00000006253
ENSG00000121542	ENSACAG00000011029	ENSGALG00000011697
ENSG00000139971	ENSACAG00000000793	ENSGALG00000012089
ENSG00000160111	ENSACAG00000001905	ENSGALG00000003742
ENSG00000128052	ENSACAG00000009614	ENSGALG00000013907
ENSG00000104415	ENSACAG00000011648	ENSGALG00000030115
ENSG00000130023	ENSACAG00000002782	ENSGALG00000011186
ENSG00000140104	ENSACAG00000025647	ENSGALG00000011690
ENSG00000170779	ENSACAG00000011840	ENSGALG00000011692
ENSG00000136153	ENSACAG00000002156	ENSGALG00000016920
ENSG00000217128	ENSACAG00000012175	ENSGALG00000017462
ENSG00000101096	ENSACAG00000013075	ENSGALG00000007963
ENSG00000277791	ENSACAG00000013218	ENSGALG00000001597
ENSG00000139826	ENSACAG00000014564	ENSGALG00000016853
ENSG00000066455	ENSACAG00000008890	ENSGALG00000010813
ENSG00000197562	ENSACAG00000003114	ENSGALG00000030481
ENSG00000143772	ENSACAG00000006393	ENSGALG00000009068
ENSG00000182359	ENSACAG00000011146	ENSGALG00000028658
ENSG00000170903	ENSACAG00000011157	ENSGALG00000017177
ENSG00000132953	ENSACAG00000002526	ENSGALG00000017132
ENSG00000108349	ENSACAG00000002674	ENSGALG00000031813
ENSG00000006377	ENSACAG00000014705	ENSGALG00000023195
ENSG00000136603	ENSACAG00000016018	ENSGALG00000009356
ENSG00000008441	ENSACAG00000017054	ENSGALG00000041630
ENSG00000204442	ENSACAG00000006065	ENSGALG00000022762
ENSG00000136840	ENSACAG00000000514	ENSGALG00000005063
ENSG00000183978	ENSACAG00000013888	ENSGALG00000034345
ENSG00000104442	ENSACAG00000016790	ENSGALG00000036567
ENSG00000088836	ENSACAG00000003941	ENSGALG00000016017
ENSG00000071537	ENSACAG00000017454	ENSGALG00000010581
ENSG00000126562	ENSACAG00000013892	ENSGALG00000032191
ENSG00000181585	ENSACAG00000005156	ENSGALG00000005443
ENSG00000169403	ENSACAG00000017632	ENSGALG00000000783
ENSG00000178199	ENSACAG00000006984	ENSGALG00000038782
ENSG00000113583	ENSACAG00000006368	ENSGALG00000006506
ENSG00000198570	ENSACAG00000016362	ENSGALG00000009861
ENSG00000135476	ENSACAG00000006650	ENSGALG00000041923
ENSG00000155511	ENSACAG00000009406	ENSGALG00000004083
ENSG00000198668	ENSACAG00000010161	ENSGALG00000026445
ENSG00000091527	ENSACAG00000004383	ENSGALG00000032316
ENSG00000137501	ENSACAG00000001917	ENSGALG00000008326
ENSG00000156171	ENSACAG00000029049	ENSGALG00000036491
ENSG00000225190	ENSACAG00000013013	ENSGALG00000000201
ENSG00000143315	ENSACAG00000003466	ENSGALG00000010768
ENSG00000149547	ENSACAG00000000120	ENSGALG00000038097
ENSG00000182534	ENSACAG00000008486	ENSGALG00000001805
ENSG00000139546	ENSACAG00000001100	ENSGALG00000038939
ENSG00000038274	ENSACAG00000028511	ENSGALG00000001750
ENSG00000185262	ENSACAG00000008208	ENSGALG00000040877
ENSG00000182512	ENSACAG00000014188	ENSGALG00000011079
ENSG00000185345	ENSACAG00000002888	ENSGALG00000011562
ENSG00000125285	ENSACAG00000002492	ENSGALG00000035157
ENSG00000198382	ENSACAG00000012675	ENSGALG00000000845
ENSG00000172247	ENSACAG00000001958	ENSGALG00000008080
ENSG00000180376	ENSACAG00000005884	ENSGALG00000005450
ENSG00000085377	ENSACAG00000003768	ENSGALG00000015405
ENSG00000000460	ENSACAG00000008308	ENSGALG00000032743
ENSG00000196743	ENSACAG00000010113	ENSGALG00000027534
ENSG00000085721	ENSACAG00000003912	ENSGALG00000041989
ENSG00000173805	ENSACAG00000017899	ENSGALG00000023847
ENSG00000171714	ENSACAG00000015205	ENSGALG00000003748
ENSG00000086598	ENSACAG00000015382	ENSGALG00000003307
ENSG00000171532	ENSACAG00000017561	ENSGALG00000039633
ENSG00000170345	ENSACAG00000016921	ENSGALG00000028037
ENSG00000174453	ENSACAG00000015435	ENSGALG00000003472
ENSG00000154277	ENSACAG00000011963	ENSGALG00000014261
ENSG00000196510	ENSACAG00000016062	ENSGALG00000003826
ENSG00000197043	ENSACAG00000010216	ENSGALG00000004357
ENSG00000109917	ENSACAG00000001726	ENSGALG00000007101
ENSG00000130307	ENSACAG00000027674	ENSGALG00000037526
ENSG00000153574	ENSACAG00000002303	ENSGALG00000015960
ENSG00000159217	ENSACAG00000006199	ENSGALG00000041204
ENSG00000005810	ENSACAG00000000646	ENSGALG00000016915
ENSG00000149289	ENSACAG00000001031	ENSGALG00000017154
ENSG00000135940	ENSACAG00000006179	ENSGALG00000033446
ENSG00000145864	ENSACAG00000015134	ENSGALG00000001690
ENSG00000151247	ENSACAG00000014186	ENSGALG00000042112
ENSG00000157869	ENSACAG00000006400	ENSGALG00000014931
ENSG00000131196	ENSACAG00000000941	ENSGALG00000042534
ENSG00000206535	ENSACAG00000011523	ENSGALG00000015287
ENSG00000198765	ENSACAG00000003361	ENSGALG00000002511
